patient_id,first_name,last_name,dob,email,phone,preferred_doctor,preferred_location,insurance_carrier,member_id,group_number,returning_patient
P001,Krish,Iyer,1995-06-03,krish.iyer0@example.com,+91-9177777868,Dr. Kapoor,Bengaluru Clinic,ICICI Lombard,M711097,G1950,No
P002,Dev,Kulkarni,1979-04-06,dev.kulkarni1@example.com,+91-9565623510,Dr. Banerjee,Bengaluru Clinic,Star Health,M195119,G7955,Yes
P003,Vihaan,Pandey,1971-02-08,vihaan.pandey2@example.com,+91-9777129422,Dr. Kapoor,Delhi Clinic,HDFC Ergo,M705136,G7499,No
P004,Vihaan,Khan,1964-03-06,vihaan.khan3@example.com,+91-9242995371,Dr. Banerjee,Mumbai Clinic,Star Health,M666950,G2929,No
P005,Anika,Gupta,2010-04-06,anika.gupta4@example.com,+91-9294053474,Dr. Rao,Delhi Clinic,No Insurance,M769949,G4078,No
P006,Rudra,Patel,2009-02-20,rudra.patel5@example.com,+91-9705985840,Dr. Rao,Delhi Clinic,Star Health,M620528,G9711,No
P007,Ira,Bose,2001-10-08,ira.bose6@example.com,+91-9586603020,Dr. Banerjee,Mumbai Clinic,Star Health,M932967,G3945,No
P008,Tara,Khan,1967-05-06,tara.khan7@example.com,+91-9663925448,Dr. Banerjee,Mumbai Clinic,New India Assurance,M401924,G2199,No
P009,Anaya,Kulkarni,1997-07-06,anaya.kulkarni8@example.com,+91-9467279627,Dr. Rao,Mumbai Clinic,New India Assurance,M141111,G2271,Yes
P010,Neha,Joshi,2011-05-29,neha.joshi9@example.com,+91-9978700210,Dr. Banerjee,Mumbai Clinic,ICICI Lombard,M723241,G9137,No
P011,Anika,Agarwal,1966-03-03,anika.agarwal10@example.com,+91-9389845088,Dr. Banerjee,Delhi Clinic,HDFC Ergo,M163616,G6072,No
P012,Rohan,Pandey,1999-12-24,rohan.pandey11@example.com,+91-9514240403,Dr. Kapoor,Mumbai Clinic,HDFC Ergo,M584122,G6823,Yes
P013,Ishaan,Yadav,1970-07-03,ishaan.yadav12@example.com,+91-9334298814,Dr. Banerjee,Bengaluru Clinic,Star Health,M517225,G7405,Yes
P014,Dev,Bhat,1967-03-25,dev.bhat13@example.com,+91-9531262237,Dr. Kapoor,Mumbai Clinic,Star Health,M959077,G8053,Yes
P015,Pranav,Joshi,1984-12-23,pranav.joshi14@example.com,+91-9485227600,Dr. Kapoor,Mumbai Clinic,Star Health,M258252,G2359,No
P016,Ishaan,Iyer,1980-10-22,ishaan.iyer15@example.com,+91-9112952615,Dr. Banerjee,Delhi Clinic,Star Health,M375509,G5619,No
P017,Aarav,Iyer,1997-08-02,aarav.iyer16@example.com,+91-9754781117,Dr. Kapoor,Mumbai Clinic,Star Health,M824035,G9445,No
P018,Diya,Verma,2000-12-19,diya.verma17@example.com,+91-9937485860,Dr. Kapoor,Delhi Clinic,New India Assurance,M517406,G7536,No
P019,Siddharth,Patel,2003-03-14,siddharth.patel18@example.com,+91-9166838090,Dr. Rao,Bengaluru Clinic,Star Health,M562030,G3659,No
P020,Anaya,Bose,2013-11-22,anaya.bose19@example.com,+91-9100250482,Dr. Kapoor,Bengaluru Clinic,No Insurance,M206393,G6957,Yes
P021,Diya,Sharma,1966-04-23,diya.sharma20@example.com,+91-9759351559,Dr. Banerjee,Bengaluru Clinic,ICICI Lombard,M464264,G6966,No
P022,Sara,Patel,1970-05-07,sara.patel21@example.com,+91-9600352373,Dr. Banerjee,Mumbai Clinic,ICICI Lombard,M190056,G3361,No
P023,Anaya,Bose,1983-10-02,anaya.bose22@example.com,+91-9843090301,Dr. Rao,Delhi Clinic,HDFC Ergo,M315183,G9654,Yes
P024,Rudra,Iyer,2008-09-23,rudra.iyer23@example.com,+91-9914049802,Dr. Kapoor,Mumbai Clinic,HDFC Ergo,M830015,G5278,No
P025,Aisha,Das,1974-12-26,aisha.das24@example.com,+91-9339221897,Dr. Kapoor,Delhi Clinic,No Insurance,M445678,G4654,Yes
P026,Diya,Nair,1981-06-23,diya.nair25@example.com,+91-9894432601,Dr. Rao,Bengaluru Clinic,No Insurance,M616719,G6825,No
P027,Meera,Sharma,1962-07-04,meera.sharma26@example.com,+91-9607063907,Dr. Banerjee,Bengaluru Clinic,No Insurance,M461004,G8327,No
P028,Sana,Das,1992-09-17,sana.das27@example.com,+91-9209690402,Dr. Rao,Mumbai Clinic,Star Health,M454143,G4348,Yes
P029,Sara,Yadav,2014-10-01,sara.yadav28@example.com,+91-9614830670,Dr. Kapoor,Mumbai Clinic,HDFC Ergo,M975192,G2964,No
P030,Dev,Mukherjee,1977-11-18,dev.mukherjee29@example.com,+91-9291686239,Dr. Banerjee,Delhi Clinic,ICICI Lombard,M190963,G7485,Yes
P031,Myra,Mukherjee,1967-08-14,myra.mukherjee30@example.com,+91-9282540039,Dr. Rao,Bengaluru Clinic,Star Health,M719511,G8624,No
P032,Sana,Iyer,2014-11-13,sana.iyer31@example.com,+91-9609336875,Dr. Kapoor,Mumbai Clinic,Star Health,M675311,G9983,No
P033,Aadhya,Sharma,1961-04-11,aadhya.sharma32@example.com,+91-9879933911,Dr. Kapoor,Bengaluru Clinic,No Insurance,M885903,G3281,No
P034,Ira,Nair,1978-12-07,ira.nair33@example.com,+91-9328470563,Dr. Banerjee,Delhi Clinic,Star Health,M900776,G6341,Yes
P035,Arjun,Joshi,1997-08-04,arjun.joshi34@example.com,+91-9165395729,Dr. Kapoor,Mumbai Clinic,New India Assurance,M794655,G9466,No
